Arrival_Date,log_ret,log_return_lag1,vol_7,vol_7_lag1,vol_30,vol_30_lag1,rainfall_7d,rainfall_7d_lag1,festival_window,days_since_last_arrival,is_price_jump,price_momentum_7,price_momentum_3,month_sin,month_cos,dow_sin,dow_cos,govt_window,govt_none,govt_buffer_operations,govt_export_restriction,govt_farmer_actions,govt_import_support,govt_market_intervention,govt_procurement_support,govt_stock_limit_actions
2025-06-29,0.0,0.03343477608623742,0.0337209171479349,0.0337209171479349,0.029509798114635374,0.029509798114635374,48.8,45.9,0,0,0,-0.01852496284447351,-0.012175735165814904,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,0,1,0
2025-06-30,-0.0006449532632465692,0.0,0.03309032964138045,0.0337209171479349,0.029330019695687878,0.029509798114635374,45.8,48.8,0,0,0,-0.03174869831458026,0.032789822822990825,0.49999999999999994,-0.8660254037844387,0.0,1.0,1,0,1,0,0,0,0,1,0
2025-07-01,-0.01626052087178029,-0.0006449532632465692,0.029135742657018338,0.03309032964138045,0.029553444589234323,0.029330019695687878,41.0,45.8,0,0,0,-0.07938675487861604,-0.01690547413502689,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1,0,1,0,0,0,0,1,0
2025-07-02,-0.016529301951210582,-0.01626052087178029,0.023941083672161877,0.029135742657018338,0.029408908887431976,0.029553444589234323,38.400000000000006,41.0,0,0,0,-0.045610511252052316,-0.033434776086237475,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1,0,1,0,0,0,0,1,0
2025-07-03,0.0,-0.016529301951210582,0.023941083672161877,0.023941083672161877,0.028750045832314428,0.029408908887431976,27.8,38.400000000000006,0,0,0,-0.045610511252052316,-0.03278982282299091,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1,0,1,0,0,0,0,1,0
2025-07-04,0.006644542718668511,0.0,0.01680161396604852,0.023941083672161877,0.02867542546656154,0.028750045832314428,22.5,27.8,0,0,0,0.0066445427186684865,-0.0098847592325421,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1,0,1,0,0,0,0,1,0
2025-07-05,0.02679023336756875,0.006644542718668511,0.014719062914899904,0.01680161396604852,0.02881287238001903,0.02867542546656154,29.3,22.5,0,0,0,-1.8388068845354155e-16,0.03343477608623723,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,0,1,0,0,0,0,0,0
2025-07-06,0.0,0.02679023336756875,0.014719062914899904,0.014719062914899904,0.028689816190983423,0.02881287238001903,35.2,29.3,0,0,0,-1.8388068845354155e-16,0.03343477608623723,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0,0,0
2025-07-07,-0.03343477608623734,0.0,0.01942411343794656,0.014719062914899904,0.02920885360033767,0.028689816190983423,47.9,35.2,0,0,0,-0.032789822822990956,-0.006644542718668621,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-07-08,-0.013423020332140661,-0.03343477608623734,0.019170215676193585,0.01942411343794656,0.02932932256659004,0.02920885360033767,48.7,47.9,0,0,0,-0.029952322283351325,-0.046857796418378034,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-07-09,0.01342302033214077,-0.013423020332140661,0.019322291761244642,0.019170215676193585,0.02297745038633763,0.02932932256659004,51.0,48.7,0,0,0,2.6020852139652106e-17,-0.03343477608623726,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-07-10,-0.01680711831638129,0.01342302033214077,0.020339742723641453,0.019322291761244642,0.02312759438764557,0.02297745038633763,48.7,51.0,0,0,0,-0.016807118316381264,-0.01680711831638121,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-07-11,0.0502418944026187,-0.01680711831638129,0.028577823690616608,0.020339742723641453,0.024940640726986672,0.02312759438764557,46.2,48.7,0,0,1,0.026790233367568923,0.04685779641837815,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-07-12,-0.06664691029235101,0.0502418944026187,0.03672472521704391,0.028577823690616608,0.027587583240406315,0.024940640726986672,39.4,46.2,0,0,1,-0.06664691029235084,-0.03321213420611363,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
