Arrival_Date,festival_window,Modal_Price,log_ret,vol_7,vol_30,month,week,day_of_week,precip_mm,rainfall_7d,days_since_last_arrival,is_price_jump
2019-11-07,0,3500.5,-0.06229525557652991,0.16910515160414932,0.13591268186889924,11,45,3,0.4,6.199999999999965,1.0,0
2019-11-09,0,3870.0,0.10034869160657522,0.173368803654699,0.13716810384938788,11,45,5,0.0,5.399999999999965,2.0,0
2019-11-11,0,4100.0,0.05773246666857171,0.1691659770096952,0.13752136666249942,11,46,0,0.0,2.1999999999999647,2.0,0
2019-11-13,0,3551.0,-0.14375771974931129,0.17009992882998387,0.14003272013447846,11,46,2,0.2,1.5999999999999646,2.0,0
2019-11-14,0,3701.0,0.04137379944306802,0.1604003676326175,0.13635393815303967,11,46,3,0.0,0.9999999999999645,1.0,0
2019-11-15,0,4281.0,0.14558357375879014,0.09935515247581604,0.13828570976022916,11,46,4,0.1,1.0999999999999646,1.0,0
2019-11-16,0,3870.0,-0.1009321201211186,0.108655935016396,0.13523293568083133,11,46,5,0.0,0.6999999999999645,1.0,0
2019-11-18,0,4160.0,0.07226056723148153,0.10655839621027245,0.13535059844660455,11,47,0,0.0,0.2999999999999645,2.0,0
2019-11-19,0,4775.5,0.1379836062194832,0.11183275238325906,0.13204445822817285,11,47,1,0.0,0.2999999999999645,1.0,0
2019-11-20,0,5487.5,0.13897409790863452,0.11916172310518997,0.1336996975786634,11,47,2,0.0,0.2999999999999645,1.0,0
2019-11-21,0,5975.5,0.08519499792350892,0.08682641977840198,0.1242891848775117,11,47,3,0.0,0.09999999999996448,1.0,0
2019-11-22,0,6206.5,0.03792935364906675,0.08705390142943512,0.12362362664056264,11,47,4,0.0,0.09999999999996448,1.0,0
2019-11-25,0,6026.0,-0.029513689265756,0.08815798104314448,0.12341342765546225,11,48,0,0.0,0.0,3.0,0
2019-11-27,0,5376.0,-0.11413883748726107,0.09195699892432976,0.12414385538514061,11,48,2,0.0,0.0,2.0,0
2019-11-28,0,4175.5,-0.2527104916097013,0.14422750995658762,0.13248824189092961,11,48,3,0.0,0.0,1.0,0
2019-11-29,0,4551.0,0.08611287742335785,0.1371472136364075,0.1330210631433553,11,48,4,0.1,0.09999999999996448,1.0,0
2019-11-30,0,5100.5,0.11399158510593156,0.13298093216351037,0.13379794425064973,11,48,5,1.8,1.8999999999999646,1.0,0
2019-12-01,0,4726.0,-0.07625939537572039,0.12751684717005662,0.13379035309407158,12,48,6,0.1,1.9999999999999647,1.0,0
2019-12-02,0,6501.0,0.31887683245761567,0.18500528938490018,0.14377655107857087,12,49,0,0.2,2.1999999999999647,1.0,1
2019-12-03,0,7501.0,0.14308033376516763,0.19079703989596172,0.1450152510193319,12,49,1,0.0,2.1999999999999647,1.0,0
2019-12-04,0,5025.0,-0.40061089104235986,0.24902470997844797,0.15543979207376513,12,49,2,0.0,2.1999999999999647,1.0,1
2019-12-05,0,7001.0,0.3316275420499211,0.2518888442657261,0.1659178415590913,12,49,3,0.0,2.1999999999999647,1.0,0
2019-12-06,0,6801.0,-0.028983335801558874,0.25469442343237414,0.16572973130347904,12,49,4,0.0,2.0999999999999646,1.0,0
2019-12-07,0,7100.0,0.04302512385376815,0.2534753423032716,0.1640033021306761,12,49,5,0.0,0.2999999999999645,1.0,0
2019-12-09,0,4701.0,-0.4123195320052762,0.3069513809386113,0.18183573664739566,12,50,0,0.0,0.19999999999996448,2.0,1
2019-12-10,0,5401.0,0.1388088695687605,0.28225149124642357,0.1825948977580219,12,50,1,0.0,0.0,1.0,0
2019-12-11,0,6201.0,0.1381264477569869,0.2817612698242561,0.18379219646709216,12,50,2,0.0,0.0,1.0,0
2019-12-12,0,6451.0,0.03952458818236377,0.2286443544990326,0.18277844400683496,12,50,3,0.3,0.29999999999996446,1.0,0
2019-12-13,0,7300.0,0.12363919060424079,0.1947838079726009,0.16958478847667796,12,50,4,0.0,0.29999999999996446,1.0,0
2019-12-16,0,8625.0,0.16679061476307797,0.20281716861562502,0.17141855004652917,12,51,0,0.4,0.6999999999999644,3.0,0
2019-12-17,0,8200.0,-0.050530808647216,0.2051875657760648,0.17121824361880678,12,51,1,0.1,0.7999999999999645,1.0,0
2019-12-18,0,7100.0,-0.1440393702229377,0.11692497695122359,0.17347465486390953,12,51,2,0.0,0.7999999999999645,1.0,0
2019-12-19,0,7000.0,-0.014184634991956413,0.11375531688536936,0.17343541617822142,12,51,3,0.0,0.7999999999999645,1.0,0
2019-12-20,0,5100.0,-0.31666960932503324,0.16481865693857212,0.18166837076870518,12,51,4,0.0,0.7999999999999645,1.0,0
